"ID","Title","Description","Content","Category"
"1","html and css","html and css","1. Declare Thymeleaf namespace to use Thyemleaf
   <html xmlns=""http://www.w3.org/1999/xhtml"" xmlns:th=""https://www.thymeleaf.org"">
    namespace is html and thymeleaf

2. Use Bootstrap front-end framework 
   a) Including the Bootstrap CSS file in the HTML document
     <link rel=""stylesheet"" href=""https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css"" integrity=""sha38..
   b) Use the classes of my-5 container:
     <div class=""container my-5"">

3. Define two ""<div>"" elements to divide web page into two parts vertically.
    Assign the class name ""left-container"" to one <div > and ""right-container"" to the other. Style the ""left-container"" to take up 20% page width and the ""right-container"" to take the remaining space horizontally.
   
4. Padding and Margin
    They define the space between content and border and the space after border respectively.

","Javascript and HTML"
"2","Data Flow of Creating a test","SpringBoot","How a test is created
1.At the test launch page /test, users can initiate a test with options of subject, category, and subcategory by clicking a button, which sends the request to the Test Service's endpoint /test_subject on port 8084.

2 The Test Service queries the 'test_problem' table in the MySQL database to retrieve a list of previously tested problems. It then sends the IDs and subcategories of these problems in the JSON body of an HTTP request to the Problem Service's endpoint /math/test-rest on port 8080, with the purpose of requesting problems that have not been tested before.

3. The Problem Service queries the 'problem_table' in the MySQL database to retrieve a problem list and send the list in the JSON body of an HTTP response back to the Test Service.

4. The Test Service extracts the problem list by parsing the JSON body, adds it into an HTML template using Thymeleaf, and then sends the resulting page back to client.
","HowItWorks"
"3","How Web Browser Load HTML","Web browser load HTML file","   When a web browser parses an HTML file, it sequentially adds HTML elements to the DOM tree and executes any inline JavaScript code within <script> tags. If there's an external JavaScript file referenced, the browser can continue parsing HTML elements while simultaneously waiting for the JavaScript file to arrive. 
   When all HTML elements have been loaded and JavaScript code has been parsed, the ""DOMContentLoaded"" event for document is triggered.
   When all resources such as CSS files, image files and others have been loaded, the ""load"" event is triggered for document object.

","HowItWorks"
"4","How to Dockerize SpringBoot application","Installing docker desktop, creating jars for application, writing docker files, build images, run images  ","1. Steps to dockerizing
	1. Install Docker Desktop.
	    Administrative privileges are required for installation, but running Docker Desktop afterward doesn't need them.
	2. Create a jar file.
	    In pom.xml, include Maven JAR Plugin and specify the class containing the entrance method within the plugin configuration. 
	3. Write a Dockerfile.
	    This file, named Dockerfile as specified by Docker, is needed for building a Docker image..
	4. Build an image.
	    Execute the command ""docker build -t appname ."" to build a docker image.
	5.  Run image
	    Run the command "" docker run"" to run the image. A container will be created and you can see it in docker desktop.

2. Configuration issues.
        1. Replace all occurrences of localhost should with IP address
        2. Configure MySQL to allow access to tables from the container. Due to a modification of domain names in SQL queries by Docker, MySQL denies access since they are new to MySQL. Therefore, we need to adjust MySQL settings to permit access from all hosts to the relevant tables.
      ","HowTo"
"5","Eclipse Debugging Problems","","1. Breakpoint doesn't work.
  Please ensure the option ""Skip All Breakpoints"" is disabled, as it will disable all breakpoints.  When this option is enabled, the icons besides all breakpoints will appear prohibited.

2. Compiler complains log functions cannot be found for classes which enable lombok module.
   Lombok adds log field during compile time. my solution is to define the log member manually instead of using @slf4j. Slf4j module will be added by spring framework automatically.  maybe we can check out the output class file of controller class to see if log member is there.
3. configuration change in applicaiton.properties cannot take effect.
   rebuild the project doesn't work. finally after removing and restoring  some lines around the change, it take effect. maybe nexttime i should check the application.property file in jar file first to see it has changed.
 
   ","Eclipse "
"11","Form checkbox value send wrong","","The way it works is : if it is checked, the value will sent as a key-value pair in request parameter. by default this box is set to checked.  

<div id=""noSpellingCheckboxDiv"" style=""display: none;"">
        <input type=""checkbox"" id=""noSpellingCheckbox"" name=""noSpellingCheckbox"" value=""true"" checked>
        <label for=""noSpellingCheckbox"">No Spelling</label>
</div>

In the handler at server-side, spring boot will bind the value to the input parameter you specified for this URL parameter. If it is defined as a boolean parameter, The value in the   corresponding URL parameter  must be ""true"" or ""false"",  otherwise exception will happen.
	@GetMapping(""/test_subject"")
	public String getATest(Model model, 
			               @RequestParam TestSubjectType subject,
			               @RequestParam(name = ""noSpellingCheckbox"", defaultValue = ""false"")boolean noSpelling) {
","HowItWorks"
"12","How to Add to a Table That Has a Foreign Key","","The SQL tables ""math_problem"" and ""subcategory"" are linked by a foreign key relationship. The steps to add a new problem is""
1. The handler in Controller receives a problem object from a request body.
2. Query the ""subcategory"" table to see if its subcategory name exists by calling ""findByName"" method from the repository. 
2. A optional type will return. If no data is found, create an object of subcategory and save it to the table. If the category name is found, subcategory object is returned to the handler.
3. The handler sets the subcategory field of the problem object and saves it to ""math_problem"" table.    
","HowTo"
"13","In the radical project , we utilize a ""map<Integer, List<Radical>>"" data structure.","","
This map helps organize Chinese radicals extracted from a radical index page where radicals are categorized by their stroke count.  Each radical in this page  has its own page, listing all Chinese characters that are associated with this radical.  These characters are further categorized by their total stroke count.
","HowTo"
"15","Create a View to limit user access to a SQL table"," ","If you want user can only read a table, you can bind your model class to a view create from that table in MySQL. ","ToDo"
"16","Create a mulitple module project in eclipse","","i want to export a package to a module in my project.
but it requires my current project have a pom file that is a parent project type but unluckily. mine is not that type.
to my understanding, i have to change my current pom file to create a new module in my project

i don't have any clue now ","Configuration Management"
